employee_ref,year,rater_type,rater_seq,strength_text,improvement_text
L-001,2022,peer,1,방향 제시가 명확하고 회의를 실속 있게 진행함.,바쁠 때 의사결정 공유가 늦어지는 경우가 있음.
L-001,2022,peer,2,타 부서와의 협상에서 신뢰를 쌓는 편임.,회의 안건이 많을 때 우선순위 안내가 더 있으면 좋겠음.
L-001,2022,direct_report,1,피드백을 구체적으로 주어 성장 방향을 알기 쉬움.,급한 일정일 때 소통 채널이 줄어듦.
L-001,2022,direct_report,2,권한 위임을 시도하고 실수에 대해 방어적이지 않음.,중간 점검 미팅 주기를 정기화하면 좋겠음.
L-001,2022,direct_report,3,업무 기대치를 솔직하게 말해줌.,감정 표현이 직설적일 때가 있어 톤 조절 여지.
L-001,2023,peer,1,방향 제시가 명확하고 회의를 실속 있게 진행함.,바쁠 때 의사결정 공유가 늦어지는 경우가 있음.
L-001,2023,peer,2,타 부서와의 협상에서 신뢰를 쌓는 편임.,회의 안건이 많을 때 우선순위 안내가 더 있으면 좋겠음.
L-001,2023,direct_report,1,피드백을 구체적으로 주어 성장 방향을 알기 쉬움.,급한 일정일 때 소통 채널이 줄어듦.
L-001,2023,direct_report,2,권한 위임을 시도하고 실수에 대해 방어적이지 않음.,중간 점검 미팅 주기를 정기화하면 좋겠음.
L-001,2023,direct_report,3,업무 기대치를 솔직하게 말해줌.,감정 표현이 직설적일 때가 있어 톤 조절 여지.
L-001,2024,peer,1,방향 제시가 명확하고 회의를 실속 있게 진행함.,바쁠 때 의사결정 공유가 늦어지는 경우가 있음.
L-001,2024,peer,2,타 부서와의 협상에서 신뢰를 쌓는 편임.,회의 안건이 많을 때 우선순위 안내가 더 있으면 좋겠음.
L-001,2024,direct_report,1,피드백을 구체적으로 주어 성장 방향을 알기 쉬움.,급한 일정일 때 소통 채널이 줄어듦.
L-001,2024,direct_report,2,권한 위임을 시도하고 실수에 대해 방어적이지 않음.,중간 점검 미팅 주기를 정기화하면 좋겠음.
L-001,2024,direct_report,3,업무 기대치를 솔직하게 말해줌.,감정 표현이 직설적일 때가 있어 톤 조절 여지.
L-002,2023,peer,1,방향 제시가 명확하고 회의를 실속 있게 진행함.,바쁠 때 의사결정 공유가 늦어지는 경우가 있음.
L-002,2023,peer,2,타 부서와의 협상에서 신뢰를 쌓는 편임.,회의 안건이 많을 때 우선순위 안내가 더 있으면 좋겠음.
L-002,2023,direct_report,1,피드백을 구체적으로 주어 성장 방향을 알기 쉬움.,급한 일정일 때 소통 채널이 줄어듦.
L-002,2023,direct_report,2,권한 위임을 시도하고 실수에 대해 방어적이지 않음.,중간 점검 미팅 주기를 정기화하면 좋겠음.
L-002,2024,peer,1,방향 제시가 명확하고 회의를 실속 있게 진행함.,바쁠 때 의사결정 공유가 늦어지는 경우가 있음.
L-002,2024,peer,2,타 부서와의 협상에서 신뢰를 쌓는 편임.,회의 안건이 많을 때 우선순위 안내가 더 있으면 좋겠음.
L-002,2024,direct_report,1,피드백을 구체적으로 주어 성장 방향을 알기 쉬움.,급한 일정일 때 소통 채널이 줄어듦.
L-002,2024,direct_report,2,권한 위임을 시도하고 실수에 대해 방어적이지 않음.,중간 점검 미팅 주기를 정기화하면 좋겠음.
